"sample_id","patient_id","n_cells_raw","n_cells_loaded","n_cells_thresholded","n_doublets","n_cells_final","median_nFeature","median_percent_mt","status"
"GSM6939028_MMRF_1695","MMRF_1695",1007,1007,942,26,916,2044,6.97584291435215,"kept"
"GSM6939029_MMRF_1325","MMRF_1325",509,509,494,14,480,1602,7.58564437194127,"kept"
"GSM6939030_MMRF_1413","MMRF_1413",2561,2561,2505,122,2383,1768,6.08446671438797,"kept"
"GSM6939031_MMRF_1537","MMRF_1537",3643,3643,3470,208,3262,915,5.32299741602067,"kept"
"GSM6939032_MMRF_1640","MMRF_1640",1867,1862,1805,80,1725,1687,6.80560375930201,"kept"
"GSM6939033_MMRF_1941","MMRF_1941",1116,1116,1010,34,976,2009,7.51302351907094,"kept"
"GSM6939034_MMRF_1967","MMRF_1967",1131,1131,1088,37,1051,1761,7.43672939649578,"kept"
"GSM6939035_MMRF_2038","MMRF_2038",2473,2473,2415,108,2307,1548,7.38636363636364,"kept"
"GSM6939036_MMRF_2168","MMRF_2168",1768,1768,1643,70,1573,1928,7.03856947654542,"kept"
"GSM6939037_MMRF_1267","MMRF_1267",2602,2600,2553,120,2433,1630,5.87833494053359,"kept"
"GSM6939038_MMRF_1686","MMRF_1686",974,974,926,32,894,1953,6.66959961984675,"kept"
"GSM6939039_MMRF_1641","MMRF_1641",1624,1624,1598,63,1535,1678,6.30039497690177,"kept"
"GSM6939040_MMRF_1424","MMRF_1424",1952,1952,1886,73,1813,1886.5,7.23677298424368,"kept"
"GSM6939041_MMRF_1720","MMRF_1720",2731,2725,2635,137,2498,1523,5.09893455098935,"kept"
"GSM6939042_MMRF_1505","MMRF_1505",3753,3752,3660,215,3445,2933,2.6279015473917,"kept"
"GSM6939043_MMRF_1777","MMRF_1777",1036,1036,956,31,925,1993.5,6.97393587314517,"kept"
"GSM6939044_MMRF_2251","MMRF_2251",4050,4049,4041,263,3778,3090,4.31429846990543,"kept"
"GSM6939045_MMRF_2259","MMRF_2259",2017,2017,1947,83,1864,2845,7.34927752864973,"kept"
"GSM6939046_25183","25183",2141,2139,2138,103,2035,714,1.02954341987466,"kept"
"GSM6939047_27522_1","27522",3944,3941,3873,245,3628,983,3.76009944064636,"kept"
"GSM6939048_27522_2","27522",2372,2370,2263,104,2159,884.5,5.01848634912189,"kept"
"GSM6939049_27522_3","27522",2727,2720,2695,140,2555,1201,3.92151871085242,"kept"
"GSM6939050_27522_4","27522",5074,5056,5034,374,4660,1543,4.23405260098808,"kept"
"GSM6939051_27522_5","27522",1136,1110,1102,22,1080,762,3.18866949704607,"kept"
"GSM6939052_27522_6","27522",6257,6225,5883,450,5433,1383,8.35866261398176,"kept"
"GSM6939053_37692_2","37692",3110,3110,3110,134,2976,868,4.34087949450728,"kept"
"GSM6939054_47491_1","47491",1489,1488,1488,62,1426,807,4.30834144593626,"kept"
"GSM6939055_47491_2","47491",1257,1257,1257,43,1214,804,4.89043292357028,"kept"
"GSM6939057_56203_2","56203",3336,3336,3336,189,3147,1167,4.90306274804227,"kept"
"GSM6939058_57075_3","57075",4218,4218,4218,263,3955,824,4.15000064751988,"kept"
"GSM6939059_58408_1","58408",2417,2417,2417,132,2285,874,4.25342058298632,"kept"
"GSM6939060_58408_2","58408",3773,3773,3773,214,3559,1058,3.81211708645337,"kept"
"GSM6939061_59114_1","59114",2488,2487,2487,109,2378,733,4.23309510720176,"kept"
"GSM6939062_59114_4","59114",3333,3333,3333,204,3129,1072,3.75640295959021,"kept"
"GSM6939063_60359_1","60359",7002,7002,7002,617,6385,1141,4.60308243747829,"kept"
"GSM6939064_60359_2","60359",2767,2767,2767,153,2614,936,6.20260548318102,"kept"
"GSM6939065_77570","77570",4130,4129,4129,272,3857,1188,5.42353927872519,"kept"
"GSM6939066_81012_1","81012",2643,2643,2643,146,2497,751,4.44174018862184,"kept"
"GSM6939067_81012_2","81012",1380,1379,1379,56,1323,976,4.25639726374462,"kept"
"GSM6939068_83942","83942",6351,6351,6351,490,5861,1484,3.74544249254226,"kept"
"GSM6939069_MMY18273","MMY18273",930,930,807,23,784,1567.5,7.19959560689876,"kept"
"GSM6939070_MMY21940","MMY21940",3620,3619,3308,159,3149,1006,6.37152258450493,"kept"
"GSM6939071_MMY22933","MMY22933",3200,3200,2424,132,2292,1106.5,9.91173062761233,"kept"
"GSM6939072_MMY34339","MMY34339",866,866,654,18,636,1345,9.77253190897044,"kept"
"GSM6939073_MMY34600","MMY34600",4773,4773,4430,292,4138,1172,5.63558251200404,"kept"
"GSM6939074_MMY40511","MMY40511",3654,3654,3233,193,3040,1069.5,7.66515149156535,"kept"
"GSM6939075_MMY47218","MMY47218",3160,3160,2845,126,2719,1274,6.66666666666667,"kept"
"GSM6939076_MMY67868","MMY67868",4185,4185,3972,237,3735,936,5.5871571229933,"kept"
"GSM6939077_MMY70893","MMY70893",4729,4729,4507,327,4180,951,5.89407744874715,"kept"
"GSM6939078_MMY74196","MMY74196",3637,3637,3523,231,3292,1034,5.61136976231316,"kept"
"GSM6939079_MMY80649","MMY80649",3753,3753,3654,219,3435,1153,4.8667439165701,"kept"
"GSM6939080_MMY83942","MMY83942",6009,6009,5370,358,5012,1495,5.62764830508475,"kept"
"GSM6939081_MMY98423","MMY98423",1378,1378,1253,46,1207,1182,5.95823472068728,"kept"
